article,block_id,type,text,style,content,language,caption,code
understanding-the-cap-theorem,a101,text,"<p>The CAP theorem states that a distributed data store can guarantee at most two of three properties simultaneously: <strong>Consistency</strong> (every read returns the most recent write), <strong>Availability</strong> (every request gets a non-error response), and <strong>Partition Tolerance</strong> (the system continues operating despite network partitions). Because partitions are unavoidable in real networks, the practical choice is always between consistency and availability.</p>",,,,,
understanding-the-cap-theorem,a102,callout,,info,"<p>CP systems (ZooKeeper, HBase) reject requests during a partition to preserve consistency. AP systems (Cassandra, CouchDB) accept requests and resolve conflicts later.</p>",,,
eventual-consistency-in-practice,b101,text,"<p>Eventual consistency guarantees that, if no new updates are made, all replicas will eventually return the same value. It sacrifices immediate global agreement in favour of availability and low latency. The system converges through background processes like <em>read-repair</em>, <em>hinted handoff</em>, and <em>anti-entropy</em> reconciliation.</p>",,,,,
eventual-consistency-in-practice,b102,callout,,tip,"<p>Conflict-free Replicated Data Types (CRDTs) make convergence mathematically guaranteed without coordination — a good fit for counters, sets, and last-write-wins registers.</p>",,,
domain-driven-design-strategic-patterns,c101,text,"<p>Strategic DDD is about dividing a large domain into <strong>Bounded Contexts</strong> — explicit boundaries within which a model applies consistently. Each context has its own <em>Ubiquitous Language</em> shared between developers and domain experts. A <em>Context Map</em> documents how contexts relate: Shared Kernel, Customer-Supplier, Conformist, Anti-Corruption Layer, or Open Host Service.</p>",,,,,
domain-driven-design-strategic-patterns,c102,code,,,,yaml,Context Map example,"OrderContext:
  upstream: InventoryContext  # Inventory is upstream supplier
  downstream: ShippingContext # Shipping conforms to Order
  relationship: Customer-Supplier

PaymentContext:
  relationship: Shared-Kernel  # shared Money value object"
domain-driven-design-aggregates,d101,text,"<p>An <strong>Aggregate</strong> is a cluster of domain objects treated as a single unit for data changes. Every aggregate has a <em>root entity</em> — the only object external code may hold a reference to. All modifications go through the root, which enforces invariants across the cluster. This is the primary mechanism for maintaining consistency without distributed transactions.</p>",,,,,
domain-driven-design-aggregates,d102,callout,,warning,"<p>Keep aggregates small. A large aggregate becomes a contention hotspot — every write locks the entire cluster. If two concepts rarely change together, they probably belong in separate aggregates.</p>",,,
value-objects-in-ddd,e101,text,"<p>A <strong>Value Object</strong> has no conceptual identity; it is defined entirely by its attributes. Two Money objects representing €10 are interchangeable regardless of which instance they are. Value objects should be <em>immutable</em>: operations return new instances rather than mutating state. This makes them safe to share across the model without defensive copying.</p>",,,,,
value-objects-in-ddd,e102,code,,,,php,Immutable Money value object,"final class Money
{
    public function __construct(
        private readonly int $amount,    // in cents
        private readonly string $currency,
    ) {}

    public function add(Money $other): self
    {
        if ($this->currency !== $other->currency) {
            throw new \DomainException('Currency mismatch');
        }
        return new self($this->amount + $other->amount, $this->currency);
    }
}"
