slug,authored,author,categories,tags,title,summary
understanding-the-cap-theorem,2026-01-10T09:00:00+00:00,adam,distributed-systems,cap-theorem|consistency|availability|partition-tolerance,Understanding the CAP Theorem,"A practical look at consistency, availability, and partition tolerance — and why you can only pick two during a network partition."
eventual-consistency-in-practice,2026-01-12T09:00:00+00:00,jane,distributed-systems,consistency|distributed-systems|event-driven,Eventual Consistency in Practice,"How distributed systems converge to a consistent state over time, and the patterns that make it workable."
domain-driven-design-strategic-patterns,2026-01-15T09:00:00+00:00,adam,ddd,ddd|bounded-context,Domain-Driven Design: Strategic Patterns,"Bounded contexts, ubiquitous language, and context maps — the high-level tools for taming large domains."
domain-driven-design-aggregates,2026-01-17T09:00:00+00:00,jane,ddd,ddd|aggregates,Domain-Driven Design: Aggregates & Invariants,"What aggregates are, how to draw their boundaries, and why external code should only talk to the root."
value-objects-in-ddd,2026-01-20T09:00:00+00:00,adam,ddd,ddd|value-objects|design-patterns,Value Objects in Domain-Driven Design,"Objects defined by their attributes rather than identity — and why immutability makes them safe to share."
cqrs-command-query-responsibility-segregation,2026-01-22T09:00:00+00:00,jane,architecture-styles,cqrs|design-patterns|event-sourcing,CQRS: Command Query Responsibility Segregation,"Separating the write model from the read model to let each evolve independently and scale differently."
event-sourcing-storing-state-as-events,2026-01-25T09:00:00+00:00,adam,messaging-patterns,event-sourcing|event-driven|cqrs,Event Sourcing: Storing State as a Sequence of Events,"Instead of persisting current state, store every change as an immutable event and derive state by replaying the log."
microservices-architecture-promises-and-pitfalls,2026-01-28T09:00:00+00:00,jane,architecture-styles,microservices|distributed-systems,Microservices Architecture: Promises & Pitfalls,"Independent deployability and polyglot freedom come with distributed systems complexity — here is what to expect."
hexagonal-architecture-ports-and-adapters,2026-02-01T09:00:00+00:00,adam,architecture-styles,hexagonal|clean-architecture|design-patterns,Hexagonal Architecture: Ports and Adapters,"Isolate your domain from infrastructure by inverting dependencies — the application core knows nothing about HTTP, databases, or queues."
clean-architecture-the-dependency-rule,2026-02-04T09:00:00+00:00,jane,architecture-styles,clean-architecture|design-patterns|ddd,Clean Architecture: The Dependency Rule,"Source code dependencies must always point inward — toward higher-level policy and away from details like frameworks and databases."
monolith-vs-microservices-when-to-split,2026-02-07T09:00:00+00:00,adam,architecture-styles,monolith|microservices|distributed-systems,Monolith vs Microservices: When to Split,"A decision framework for choosing between a modular monolith and microservices — and the signals that tell you it is time to split."
api-gateway-pattern,2026-02-10T09:00:00+00:00,jane,architecture-styles,api-gateway|microservices,The API Gateway Pattern,"A single entry point for clients that handles routing, auth, rate limiting, and protocol translation across backend services."
saga-pattern-distributed-transactions,2026-02-13T09:00:00+00:00,adam,messaging-patterns,saga|microservices|distributed-systems,The Saga Pattern: Distributed Transactions Without 2PC,"Coordinate long-running business transactions across services using a sequence of local transactions and compensating actions."
circuit-breaker-pattern,2026-02-16T09:00:00+00:00,jane,messaging-patterns,circuit-breaker|microservices|distributed-systems,The Circuit Breaker Pattern,"Stop cascading failures by detecting when a downstream service is unhealthy and short-circuiting calls until it recovers."
the-outbox-pattern-for-reliable-messaging,2026-02-19T09:00:00+00:00,adam,messaging-patterns,outbox|event-driven|distributed-systems,The Outbox Pattern for Reliable Messaging,"Guarantee at-least-once event delivery without two-phase commit by writing events to the database in the same transaction as your business data."
the-repository-pattern,2026-02-22T09:00:00+00:00,jane,design-patterns,repository-pattern|design-patterns|ddd,The Repository Pattern,"Mediate between the domain model and the data mapping layer using a collection-like interface for accessing domain objects."
factory-pattern-object-creation,2026-02-25T09:00:00+00:00,adam,design-patterns,factory-pattern|design-patterns,The Factory Pattern: Centralising Object Creation,"Delegate the responsibility of creating complex objects to a dedicated factory, keeping construction logic out of the domain and callers."
strategy-pattern-encapsulating-algorithms,2026-02-28T09:00:00+00:00,jane,design-patterns,strategy-pattern|design-patterns,The Strategy Pattern: Encapsulating Algorithms,"Define a family of algorithms, encapsulate each one, and make them interchangeable — open for extension, closed for modification."
observer-pattern-and-event-driven-design,2026-03-03T09:00:00+00:00,adam,design-patterns,observer-pattern|event-driven|design-patterns,The Observer Pattern and Event-Driven Design,"Decouple publishers from subscribers by letting objects register interest in events without the producer knowing who is listening."
dependency-injection-and-ioc-containers,2026-03-06T09:00:00+00:00,jane,design-patterns,dependency-injection|design-patterns|clean-architecture,Dependency Injection and IoC Containers,"Invert control of dependency creation to keep classes decoupled from their collaborators and trivially testable."
